unConcept	UN/events/weather/precipitation	mitre12	MITRE12/Rainfall	0.7757526
unConcept	UN/events/weather/precipitation	mitre12	MITRE12/Average precipitation in depth	0.63484764
unConcept	UN/events/weather/precipitation	wdi	WDI/Average_precipitation_in_depth_(mm_per_year)	0.6221956
unConcept	UN/events/weather/precipitation	wdi	WDI/Droughts,_floods,_extreme_temperatures_(%_of_population,_average_1990-2009)	0.5446937
unConcept	UN/events/weather/precipitation	fao	FAO/events/Emissions (CO2eq) (Cultivation of organic soils)/Grassland organic soils	0.5197578
unConcept	UN/events/weather/precipitation	fao	FAO/events/Emissions (CO2eq) (Cultivation of organic soils)/Cropland and grassland organic soils	0.5022228
unConcept	UN/events/weather/precipitation	fao	FAO/events/Implied emission factor for N2O (Cultivation of organic soils)/Grassland organic soils	0.49500477
unConcept	UN/events/weather/precipitation	fao	FAO/events/Emissions (N2O) (Cultivation of organic soils)/Grassland organic soils	0.49251658
unConcept	UN/events/weather/precipitation	fao	FAO/events/Emissions (CO2eq) (Cultivation of organic soils)/Cropland organic soils	0.4852947
unConcept	UN/events/weather/precipitation	mitre12	MITRE12/PM2.5 air pollution, mean annual exposure	0.47377715
unConcept	UN/events/weather/precipitation	mitre12	MITRE12/Emissions (CO2eq) (Cultivation of organic soils), Grassland organic soils	0.47072664
unConcept	UN/events/weather/precipitation	wdi	WDI/Renewable_internal_freshwater_resources,_total_(billion_cubic_meters)	0.47068697
unConcept	UN/events/weather/precipitation	mitre12	MITRE12/Percentage of livestock whose main water source is lakes	0.46660322
unConcept	UN/events/weather/precipitation	wdi	WDI/Renewable_internal_freshwater_resources_per_capita_(cubic_meters)	0.44575512
unConcept	UN/events/weather/precipitation	wdi	WDI/Water_productivity,_total_(constant_2010_US$_GDP_per_cubic_meter_of_total_freshwater_withdrawal)	0.4288153
unConcept	UN/events/weather/precipitation	who	WHO/Risk Factors/Environmental risk factors/Air pollution level in cities	0.40092403
unConcept	UN/events/weather/precipitation	who	WHO/Health Status/Mortality by cause/Mortality rate from road traffic injuries	0.38594073
unConcept	UN/events/weather/precipitation	who	WHO/Risk Factors/Environmental risk factors/Population using modern fuels for cooking\/heating\/lighting	0.353419
unConcept	UN/events/weather/precipitation	who	WHO/Service Coverage/Malaria/Indoor residual spraying (IRS) coverage	0.34903565
unConcept	UN/events/weather/precipitation	who	WHO/Risk Factors/Nutrition/Children under 5 years who are wasted	0.30693686
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	who	WHO/Health Systems/Health financing/Current expenditure on health by general government and compulsory schemes (% of current expenditure on health)	0.6852933
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	wdi	WDI/Subsidies_and_other_transfers_(%_of_expense)	0.6556886
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	wdi	WDI/Subsidies_and_other_transfers_(current_LCU)	0.6501962
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	wdi	WDI/Expense_(%_of_GDP)	0.6438806
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	wdi	WDI/Grants_and_other_revenue_(%_of_revenue)	0.64380944
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	wdi	WDI/Adequacy_of_social_safety_net_programs_(%_of_total_welfare_of_beneficiary_households)	0.64211786
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	who	WHO/Health Systems/Health financing/Externally sourced funding (% of current expenditure on health)	0.63519114
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	who	WHO/Health Systems/Health financing/Total capital expenditure on health (% current + capital expenditure on health)	0.6291673
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	who	WHO/Health Systems/Health financing/Out-of-pocket payment for health (% of current expenditure on health)	0.62254435
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	mitre12	MITRE12/General government final consumption expenditure	0.6215304
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	mitre12	MITRE12/Secondary income, other sectors, payments	0.61698633
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	mitre12	MITRE12/Domestic general government health expenditure	0.6115272
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	mitre12	MITRE12/Government expenditure on education, total	0.60692924
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	mitre12	MITRE12/Expenditure on primary education	0.59746325
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	who	WHO/Health Systems/Health financing/Headcount ratio of catastrophic health expenditure	0.5589068
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	fao	FAO/events/Value Local Currency/Agriculture, forestry, fishing, Capital (Central Government)	0.52064484
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	fao	FAO/events/Value US$, 2005 prices/Agriculture, forestry, fishing, Capital (Central Government)	0.5066679
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	fao	FAO/events/Value US$/Agriculture, forestry, fishing, Capital (Central Government)	0.50415206
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	fao	FAO/events/Value Local Currency, 2010 base year/Value Added Deflator (Agriculture, forestry and fishery)	0.48398972
unConcept	UN/interventions/provision of goods and services/emergency shelter and nfi/provision of rental subsidies for displaced people	fao	FAO/events/Annual growth US$/Agriculture, forestry, fishing (Central Government)	0.47656742
