1	22e0ad65-ddb9-4abd-8846-a1ba41cfa1de	economic_and_commerce/economic_activity/market/price_or_cost/oil_price	0.975	price	0	N	Y	economic_and_commerce/economic_activity/market/price_or_cost/oil_price	economic_and_commerce/economic_activity/cross_border_trade/import	0.959	import	0				Mihai	hume	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.
2	097653e8-9a13-4b45-a324-da9f3725b1c9	trend	0.757	it has the potential to be a significant catalyst for future growth	0	N	N		interventions/provision_of_goods_and_services/food_for_assets	0.781	is a key asset for the business as it has the potential to be a significant catalyst for future growth	1				Mihai	cwms	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.
3	aa1b5266-b9a3-4bfe-97f7-007212343f67	crisis_and_disaster/environmental_disasters/natural_disaster/drought	0.729	recurrent drought	0	N	Y	crisis_and_disaster/environmental_disasters/natural_disaster/drought	agriculture/livestock_production	0.872	number of cattle in the area	0				Mihai	eidos	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .
4	6dfe800e-8426-46c8-af1a-be590a2defe1	crisis_and_disaster/famine	0.782	repeated transitory acute food insecurity	0	N	N	food_insecurity/food_unavailability	food_security	1	chronic food insecurity	0				Mihai	eidos	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .
5	296a2938-4e09-4bcf-a7f8-15d97d11d7eb	interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	0.726	cash transfers	1	N	Y	interventions/provision_of_goods_and_services/once_off_cash_transfer_to_facilitate_return	agriculture/crop_production	0.71	no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley	0				Mihai	cwms	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.
6	1ae9269c-06ca-4ade-8eb6-c036ebfdb196	interventions/provision_of_goods_and_services/legal_aid_for_displaced_persons	0.838	they allow aid professionals	1	N	N	NEW NODE:  entity/person_and_group/humanitarian_workers	interventions/provision_of_goods_and_services/cash_for_work	0.858	USAID encourages cash donations because they allow aid professionals	1				Mihai	cwms	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.
7	062855d3-01c4-47c8-acd9-81e4ead19c98	interventions/institutional_support/prison_system_reform	0.737	sustaining the reform programs	1	N	Y	interventions/institutional_support/prison_system_reform	interventions/provision_of_goods_and_services/public_health_information_campaign	0.732	lagging service-delivery quality in the public sector	1				Mihai	eidos	First and foremost , sustaining the reform programs is cited as the main reason for lagging service-delivery quality in the public sector .
8	4a342a3c-dddd-4666-84fa-b4ac5655aa05	health_and_life/treatment/health_treatment	0.712	complications	0	N	N	NEW NODE:  health_and_life/disease/symptoms_and_complications	health_and_life/death	0.714	died	0				Mihai	hume	Nam, an economist-turned-politician, died of complications from testicular cancer on May 18.
9	4d6439ea-161b-4951-9f13-1474d9905d59	interventions/provision_of_goods_and_services/food_for_work	0.703	of the additional work included in the project	1	N	N		interventions/provision_of_goods_and_services/cash_for_work	0.727	that because of the additional work included in the project the cost has escalated to 345 million dollars	1				Mihai	cwms	Hailu said that because of the additional work included in the project the cost has escalated to 345 million dollars.
10	90b9e755-cfd7-47e0-9c72-c3b9f88e5459	social_and_political/conflict/hostility	0.878	Conflict	0	N	Y	social_and_political/conflict/hostility	environmental/climate_change_mitigation	0.852	impact	0				Mihai	hume	Conflict and widespread insecurity impact the humanitarian situation negatively and hamper humanitarian organizations from carrying out their activities in the deep field.
11	11d35fd1-dfa2-4243-b7f0-0632c30ac0d2	economic_and_commerce/economic_activity/market/revenue/household_income	0.81	start paying off	0	N	N		economic_and_commerce/economic_activity/market/revenue/household_income	0.813	start paying off	0				Mihai	cwms	However, if successful, it should be able to crowd in private sector activity in the future as infrastructure investments are completed and start paying off, Moller said.
12	6ec4ceb9-071b-4a58-9834-4984b7424455	social_and_political/conflict/tension	0.79	conflicts	0	N	Y	social_and_political/conflict/tension	health_and_life/living_condition	0.796	unsafe conditions	0				Mihai	hume	The AUC Chairperson regretted that conflicts have created unsafe conditions for the creation of jobs, making it difficult for countries to achieve vibrant economies to create gainful employment.
