Index	Sentence	Entity	Character Offsets	cause/effect	GOLD Flat Grounding	Current Flat Grounding	Flat Correct?	GOLD Concept Grounding	Current Concept Grounding	Concept Correct?	GOLD Process Grounding	Current Process Grounding	Process Correct?	GOLD Property Grounding	Current Property Grounding	Property Correct?	Notes	
1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	price	(5,10)	cause	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/	true	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/, wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/revenue, wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	false	wm_compositional/process/trend	None	false	wm_compositional/property/price	wm_compositional/property/price	true
1	Fuel price trends in FEWS NET countries will depend on both international market conditions, the evolution of local exchange rates in relation to the U.S. Dollar, and the design and implementation of local fuel import and price policies.	import	(211,217)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	wm/concept/causal_factor/economic_and_commerce/economic_activity/cross_border_trade/import/	true	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/fuel	true	wm_compositional/process/economic/import	wm_compositional/process/economic/import	true	None	None	true
2	Our Ethiopian site is a key asset for the business as it has the potential to be a significant catalyst for future growth.	is a key asset for the business as it has the potential to be a significant catalyst for future growth	(19,121)	effect	wm/concept/causal_factor/economic_and_commerce/economic_activity/market/assets	wm/concept/causal_factor/interventions/provision_of_goods_and_services/food_for_assets, wm/concept/causal_factor/interventions/provision_of_goods_and_services/provision_of_credit_and_training_for_income_generation, wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_assets, wm/concept/causal_factor/interventions/provision_of_goods_and_services/public_information_campaigns_on_explosive_hazards, wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_for_work	false	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/assets	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/market/assets	true	None	wm_compositional/process/management/, wm_compositional/process/management/management, wm_compositional/process/management/, wm_compositional/process/management/management, wm_compositional/process/economic/transaction	false	None	None	true
3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	recurrent drought	(11,28)	cause	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	wm/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	true	wm_compositional/concept/causal_factor/crisis_and_disaster/environmental_disasters/natural_disaster/drought	wm_compositional/concept/causal_factor/environment/precipitation/drought, wm_compositional/concept/causal_factor/crisis_and_disaster/crisis/environmental_factor/natural_disaster/drought, wm_compositional/concept/causal_factor/indicator_and_reported_property/weather/rainfall, wm_compositional/concept/causal_factor/health_and_life/famine, wm_compositional/concept/causal_factor/time/temporal/season	false	wm_compositional/process/environment/climate_change	wm_compositional/process/environment/climate_change	true	None	None	true
3	Because of recurrent drought , the number of cattle in the area has also been in decline , rendering most pastoralists to be less well of which again further weakening the traditional risk distribution systems .	number of cattle in the area	(35,63)	effect	wm/concept/causal_factor/agriculture/livestock_production	wm/concept/causal_factor/agriculture/livestock_production	true	wm_compositional/concept/causal_factor/agriculture/livestock	wm_compositional/concept/causal_factor/agriculture/livestock	true	None	wm_compositional/process/agriculture/	false	wm_compositional/property/supply	None	false
4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	repeated transitory acute food insecurity	(165,206)	cause	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	wm/concept/causal_factor/crisis_and_disaster/famine	true	wm_compositional/concept/causal_factor/crisis_and_disaster/famine, wm_compositional/concept/causal_factor/entity/food	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity, wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide food	false	None	wm_compositional/process/conflict/, wm_compositional/process/economic/consumption, wm_compositional/process/economic/consumption, wm_compositional/process/economic/consumption	false	wm_compositional/property/insecurity	wm_compositional/property/insecurity	true
4	While acute food insecurity may require short-term interventions that address immediate causes , interventions tackling root causes may also be important to prevent repeated transitory acute food insecurity , which may lead to chronic food insecurity .	chronic food insecurity	(227,250)	effect	wm/concept/causal_factor/crisis_and_disaster/famine, wm/concept/causal_factor/food_insecurity/	wm/concept/causal_factor/food_insecurity/	true	wm_compositional/concept/causal_factor/crisis_and_disaster/famine, wm_compositional/concept/causal_factor/entity/food	wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/humanitarian/food, wm_compositional/concept/causal_factor/social_and_political/security/physical_insecurity, wm_compositional/concept/causal_factor/intervention/provision of goods and services/provide food	false	None	wm_compositional/process/conflict/, wm_compositional/process/economic/consumption, wm_compositional/process/economic/consumption, wm_compositional/process/economic/consumption	false	wm_compositional/property/insecurity	wm_compositional/property/insecurity	true
5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	cash transfers	(49,63)	cause	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	true	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	true	wm_compositional/process/economic/transaction	wm_compositional/process/economic/transaction	true	None	None	true
5	Not surprisingly given the results of Table 5.1, cash transfers have no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley.	no effect on the prices of the five grains sold in local markets: wheat, maize, teff, sorghum, and barley	(69,174)	effect	wm/concept/causal_factor/economic/economic_activity/market/crop_price	wm/concept/causal_factor/agriculture/crop_production, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/crop_price, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/demand/food_demand, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/price_or_cost/food_price, wm/concept/causal_factor/economic_and_commerce/economic_activity/market/supply/food_supply	false	wm_compositional/concept/causal_factor/agriculture/crop	wm_compositional/concept/causal_factor/agriculture/crop	true	None	wm_compositional/process/agriculture/harvesting	false	wm_compositional/proprety/price	None	false
6	USAID encourages cash donations because they allow aid professionals to procure the exact items needed (often in the affected region); reduce the burden on scarce resources (such as transportation routes, staff time, and warehouse space); can be transferred very quickly and without transportation costs; support the economy of the disaster-stricken region; and ensure culturally, dietary, and environmentally appropriate assistance.	USAID encourages cash donations because they allow aid professionals	(0,68)	effect	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	wm/concept/causal_factor/interventions/provision_of_goods_and_services/cash_transfer	true	wm_compositional/concept/causal_factor/economic_and_commerce/economic activity/currency	None	false	wm_compositional/process/economic/transaction	None	false	None	None	true
